Puzzle,Time
North America,3.35
North America,4.2
North America,4.32
North America,4.45
North America,4.52
North America,4.57
North America,5.25
North America,5.37
North America,5.4
North America,5.51
North America,6.04
North America,7
North America,7.18
North America,7.4
North America,8.08
North America,8.16
North America,8.2
North America,8.54
North America,8.58
North America,9.08
North America,9.12
North America,9.45
North America,10.24
North America,11.09
North America,11.1
North America,13.3
North America,15.3
North America,16.26
North America,16.3
Latin America,2.15
Latin America,3.03
Latin America,3.05
Latin America,3.06
Latin America,3.16
Latin America,3.18
Latin America,3.21
Latin America,3.57
Latin America,4.1
Latin America,4.12
Latin America,5.08
Latin America,5.51
Latin America,6.17
Latin America,6.17
Latin America,6.57
Latin America,7.25
Latin America,8.23
Latin America,8.57
Latin America,9.15
Latin America,9.3
Latin America,9.42
Latin America,11.04
Latin America,12.39
Latin America,12.42
Latin America,13.35
Latin America,13.35
Latin America,15.4
Latin America,25.06
World,3.16
World,4.2
World,5.11
World,5.13
World,5.45
World,5.49
World,6.45
World,7.19
World,8.1
World,8.29
World,8.33
World,9.37
World,9.52
World,9.58
World,10.34
World,11.03
World,11.26
World,11.35
World,13.23
World,15.02
World,16.16
World,16.31
World,20.48
World,25.37
World,26.13
Africa and Middle East,2.59
Africa and Middle East,3.26
Africa and Middle East,4.01
Africa and Middle East,4.09
Africa and Middle East,4.32
Africa and Middle East,5.22
Africa and Middle East,5.53
Africa and Middle East,6.24
Africa and Middle East,6.3
Africa and Middle East,7.21
Africa and Middle East,8.05
Africa and Middle East,8.12
Africa and Middle East,13.15
Africa and Middle East,15.34
Africa and Middle East,15.45
Africa and Middle East,16.4
Africa and Middle East,19.58
Africa and Middle East,25.37
Africa and Middle East,32.07
Europe,2.27
Europe,2.49
Europe,2.51
Europe,3.27
Europe,4.01
Europe,4.13
Europe,4.28
Europe,4.51
Europe,6.01
Europe,6.23
Europe,7
Europe,7.06
Europe,7.3
Europe,8.01
Europe,8.35
Europe,10.28
Europe,10.49
Europe,11.08
Europe,11.41
Europe,12.29
Europe,14.09
Europe,19.12
Europe,21.27
Europe,25.43
Europe,26.45
Asia,2.26
Asia,2.53
Asia,3.07
Asia,3.17
Asia,3.26
Asia,3.29
Asia,4
Asia,4.04
Asia,4.43
Asia,4.55
Asia,5.32
Asia,6.17
Asia,6.31
Asia,6.4
Asia,6.45
Asia,7.15
Asia,7.43
Asia,8
Asia,8.25
Asia,8.3
Asia,9.21
Asia,9.21
Asia,9.24
Asia,10.06
Asia,10.58
Asia,11.21
Asia,11.37
Asia,13
Asia,14.41
Asia,15.3
Asia,16.07
