Puzzle,Time
Africa and the Middle East,3.31
Africa and the Middle East,3.31
Africa and the Middle East,4.41
Africa and the Middle East,4.43
Africa and the Middle East,4.43
Africa and the Middle East,5.03
Africa and the Middle East,5.25
Africa and the Middle East,5.25
Africa and the Middle East,5.45
Africa and the Middle East,6.4
Africa and the Middle East,7.05
Africa and the Middle East,7.17
Africa and the Middle East,7.31
Africa and the Middle East,7.41
Africa and the Middle East,7.58
Africa and the Middle East,8.12
Africa and the Middle East,8.29
Africa and the Middle East,8.4
Africa and the Middle East,8.53
Africa and the Middle East,8.54
Africa and the Middle East,9.2
Africa and the Middle East,10.24
Africa and the Middle East,11.23
Africa and the Middle East,12.5
Africa and the Middle East,12.58
Africa and the Middle East,13.35
Africa and the Middle East,15.2
Africa and the Middle East,21.09
Europe,3.53
Europe,3.53
Europe,3.18
Europe,3.18
Europe,3.54
Europe,4.34
Europe,5.02
Europe,5.31
Europe,5.53
Europe,5.58
Europe,6.01
Europe,6.13
Europe,6.19
Europe,6.39
Europe,6.46
Europe,7
Europe,7.17
Europe,7.25
Europe,7.33
Europe,7.33
Europe,7.33
Europe,7.39
Europe,8.07
Europe,8.38
Europe,12.15
Europe,17.42
Europe,18.07
Europe,18.11
World,3.25
World,3.25
World,4.2
World,4.24
World,4.31
World,4.5
World,4.57
World,4.59
World,5.14
World,5.16
World,5.26
World,5.41
World,6.44
World,5.46
World,6.19
World,6.59
World,7.49
World,6.24
World,9.12
World,9.28
World,9.5
World,9.57
World,9.59
World,12.08
World,12.08
World,12.27
World,20.56
United States or Canada,4.16
United States or Canada,4.29
United States or Canada,4.39
United States or Canada,4.4
United States or Canada,4.54
United States or Canada,4.46
United States or Canada,5.09
United States or Canada,4.55
United States or Canada,5.2
United States or Canada,5.53
United States or Canada,6.57
United States or Canada,6.12
United States or Canada,6.13
United States or Canada,6.13
United States or Canada,6.45
United States or Canada,6.52
United States or Canada,6.52
United States or Canada,8.22
United States or Canada,8.15
United States or Canada,8.37
United States or Canada,9.14
United States or Canada,9.37
United States or Canada,10.02
United States or Canada,14.12
Asia,3.01
Asia,3.35
Asia,3.38
Asia,3.51
Asia,5.14
Asia,3.47
Asia,3.38
Asia,4.18
Asia,4.57
Asia,5.23
Asia,5.55
Asia,6.41
Asia,10.46
Asia,5.47
Asia,5.54
Asia,7
Asia,7.09
Asia,11.55
Asia,8.12
Asia,12.25
Asia,11.07
Asia,12.25
Asia,13.06
Asia,15.35
Asia,5.18
Asia,13.56
Latin America,4.03
Latin America,2.37
Latin America,2.37
Latin America,3.42
Latin America,5.02
Latin America,3.52
Latin America,5.25
Latin America,5.49
Latin America,5.39
Latin America,7.1
Latin America,6.34
Latin America,6.44
Latin America,5.2
Latin America,8.46
Latin America,8.47
Latin America,8.47
Latin America,9.39
Latin America,4.49
Latin America,9.15
Latin America,7.5
Latin America,21.33
Latin America,12.35
Latin America,6.39
Latin America,6.39
Latin America,5.02
